i_iso3,year,ap,eu,i_pop,small,i_gdp2,i_depr,i_fele,i_name,i_urbanpop,i_pc_mig,eflow,emig_rate,ln_emig_rate
AFG,1999,1,0,27682646.342900008,0,67.89323697577944,3.7931523302645336,76.1044872802531,Afghanistan,0.06989529620033783,0.07432422716248721,NA,NA,NA
AFG,2000,1,0,11482771.96068654,0,107.45456747767852,2.9418361567824958,51.259340390816334,Afghanistan,0.35550745793949906,0.4212880474172968,NA,NA,NA
AFG,2001,1,0,2792532.075147692,0,121.64867246149834,5.962975855126597,104.79759105665832,Afghanistan,0.20554014121535374,0.2529304925029803,NA,NA,NA
AFG,2002,1,0,6360279.19103392,0,281.63212257693203,1.6585167538536942,31.794727654159068,Afghanistan,0.3299768341173571,0.1357741265774776,NA,NA,NA
AFG,2003,1,0,27841960.06769073,0,211.32151543938278,6.69769120465775,110.56285285475013,Afghanistan,0.3751833710410176,0.2726704851617521,NA,NA,NA
AFG,2004,1,0,19700235.466078788,0,141.79342802721095,2.8563975938885955,50.083242397793896,Afghanistan,0.4174508564081043,0.39680560398458886,NA,NA,NA
AFG,2005,1,0,46558452.6528373,0,346.723149186507,6.48992510926764,38.672217268667,Afghanistan,0.23160107755752884,0.1321134842032748,NA,NA,NA
AFG,2006,1,0,43592704.06587744,0,451.6382426817526,7.133396335724891,7.525451454548865,Afghanistan,0.1668864382523154,0.3296431781377134,NA,NA,NA
AFG,2007,1,0,22335445.647877812,0,303.39039251175194,4.4238364309854115,58.603184318988816,Afghanistan,0.25769998599646987,0.6502877000296003,NA,NA,NA
AFG,2008,1,0,6440078.481067982,0,110.58173568118136,0.6131634517424942,40.53528362063784,Afghanistan,0.0936992333205603,0.23294624063866798,NA,NA,NA
AFG,2009,1,0,11984080.053843556,0,535.3962271084432,0.8821736683411827,58.660190014234374,Afghanistan,0.38201278215448187,0.12400862310139063,NA,NA,NA
AFG,2010,1,0,6486031.373749081,0,640.7770190699059,1.9127794974757366,58.67587139296383,Afghanistan,0.24581074827059032,0.10485552166201664,NA,NA,NA
AFG,2011,1,0,56303237.28903654,0,803.2844477490706,1.0824717338871817,75.33894813777879,Afghanistan,0.20964971309557184,0.9422779009392832,NA,NA,NA
AFG,2012,1,0,34601155.33155613,0,194.4613950257886,5.098558800570491,72.45607048992683,Afghanistan,0.1844158776986599,1.526634925092901,NA,NA,NA
AFG,2013,1,0,6489584.658046644,0,456.0810259345812,5.985806772856607,43.65430388196423,Afghanistan,0.2788201848257394,0.17703657830812114,NA,NA,NA
AFG,2014,1,0,38864469.62100167,0,108.68423542960699,5.360122870607198,15.287250924497194,Afghanistan,0.41818372738113063,2.1417806295754747,NA,NA,NA
AFG,2015,1,0,22551849.04154902,0,292.16924167047944,5.151538231279968,31.190564690241168,Afghanistan,0.26699417002392095,2.217409924736371,NA,NA,NA
ASM,1999,1,0,90475.26222003004,1,NA,NA,NA,American Samoa,1.393080000856301,76.24908625529429,NA,NA,NA
ASM,2000,1,0,9332.72895155735,1,NA,NA,NA,American Samoa,0.12492604175622624,16.73588282692409,NA,NA,NA
ASM,2001,1,0,81966.74146311282,1,NA,NA,NA,American Samoa,0.7451450995535274,56.512873361131724,NA,NA,NA
ASM,2002,1,0,13986.752893757162,1,6613.42549568602,NA,NA,American Samoa,0.28153332561474387,41.22342837376952,NA,NA,NA
ASM,2003,1,0,36557.31500285468,1,13118.74028474103,NA,NA,American Samoa,0.8289892456882242,69.87785435330113,NA,NA,NA
ASM,2004,1,0,58740.4880192725,1,10629.671140895061,NA,NA,American Samoa,1.543905534190908,31.84396791642773,NA,NA,NA
ASM,2005,1,0,78645.07555911886,1,7946.040738859447,NA,NA,American Samoa,1.353159078011755,15.566628719955805,NA,NA,NA
ASM,2006,1,0,104658.92514869598,1,5504.228718056884,NA,133.24406777366997,American Samoa,0.8282904230356216,64.50157356392289,NA,NA,NA
